geo_code,label,elec_rs_15,elec_ns_15,elec_tot15,POP_JOIN,X_cor,Y_cor
S12000023,S92000003S12000023,81.52069495,119.7262747,201.2469697,21349,-3.033491394,59.02999742
S12000027,S92000003S12000027,102.3518919,109.3110323,211.6629242,23167,-1.250654414,60.39679928
S12000013,S92000003S12000013,90.95177672,70.8571743,161.808951,27684,-6.866679911,57.91165175
E07000191,E92000001E07000191,78.29605747,169.0816716,247.3777291,34675,-3.489124583,51.1334391
E06000017,E92000001E06000017,74.73741407,275.6996418,350.4370559,37369,-0.653056909,52.66038428
E07000051,E92000001E07000051,90.96547369,287.9817513,378.947225,44973,-2.129886752,50.68108043
E07000048,E92000001E07000048,87.36785209,134.3203588,221.6882109,47752,-1.786823831,50.7609172
E07000133,E92000001E07000133,95.61523591,192.9298205,288.5450564,50376,-0.854573142,52.79610483
S12000005,S92000003S12000005,90.52623134,124.5766136,215.1028449,51442,-3.740835731,56.15056529
E07000167,E92000001E07000167,110.8839641,240.3179254,351.2018895,51751,-0.850647053,54.21040932
E07000166,E92000001E07000166,103.74486,137.6093241,241.3541841,51965,-1.932542491,54.36136389
E07000030,E92000001E07000030,126.350318,244.7719769,371.1222948,52564,-2.620690692,54.61282201
E07000047,E92000001E07000047,112.2912721,153.9427968,266.2340689,53553,-4.044967173,50.65569994
E07000163,E92000001E07000163,102.3706529,156.8602243,259.2308772,55409,-2.173119448,54.0797107
E07000135,E92000001E07000135,84.54884294,109.4420471,193.99089,56170,-1.091889603,52.58675186
E07000124,E92000001E07000124,114.1993287,339.6829923,453.882321,57132,-2.443260915,53.90708955
W06000024,W92000004W06000024,82.4116027,129.1286731,211.5402758,58802,-3.359903878,51.74054886
E07000201,E92000001E07000201,125.3367788,284.6046244,409.9414032,59748,0.533295939,52.3543958
E07000223,E92000001E07000223,111.8022155,101.1041681,212.9063836,61182,-0.29704378,50.843892
E07000150,E92000001E07000150,101.4190789,352.0063291,453.425408,61255,-0.694334308,52.49868565
E07000074,E92000001E07000074,137.2708175,203.0194095,340.290227,61629,0.784819743,51.70923231
E07000218,E92000001E07000218,115.8945571,485.9932411,601.8877982,62014,-1.626556365,52.54716752
E07000046,E92000001E07000046,132.4455744,187.0639904,319.5095648,63839,-4.249656497,50.8869977
E07000136,E92000001E07000136,118.6001301,221.7432751,340.3434052,64637,-0.020574903,52.97385529
E07000053,E92000001E07000053,111.5345285,120.0750767,231.6096052,65167,-2.454060825,50.60895428
E07000006,E92000001E07000006,146.6636068,226.247965,372.9115718,66867,-0.588491145,51.55588738
E07000125,E92000001E07000125,125.9812946,217.6671303,343.6484248,67982,-2.265861897,53.69359731
E07000050,E92000001E07000050,142.4579893,172.2835829,314.7415722,68583,-2.245017431,50.91200025
E07000027,E92000001E07000027,113.3368628,162.188438,275.5253008,69087,-3.210991242,54.12645398
W06000001,W92000004W06000001,147.6587314,289.328391,436.9871224,69751,-4.373180534,53.28548376
W06000019,W92000004W06000019,96.0914513,156.1247085,252.2161598,69814,-3.192568686,51.76632312
E07000029,E92000001E07000029,131.7802623,107.5230118,239.3032741,70603,-3.372072082,54.41396347
E07000035,E92000001E07000035,145.8602045,294.4280843,440.2882888,71116,-1.692137439,53.12816089
E07000068,E92000001E07000068,149.6483467,155.7853067,305.4336534,73601,0.31241497,51.63815008
E07000235,E92000001E07000235,148.8166885,149.0438763,297.8605648,74631,-2.343644516,52.18255679
E07000208,E92000001E07000208,134.0990177,110.6617415,244.7607592,75102,-0.259868035,51.33864636
E07000156,E92000001E07000156,129.5920995,272.1685117,401.7606112,75356,-0.71078162,52.2874001
E07000119,E92000001E07000119,155.1521427,232.1063551,387.2584977,75757,-2.921478949,53.7837451
E07000033,E92000001E07000033,122.8279985,228.9807026,351.8087011,75866,-1.275694851,53.21540575
W06000008,W92000004W06000008,154.8502361,316.7281919,471.578428,75922,-4.071000984,52.25559305
E07000199,E92000001E07000199,127.4131116,212.9677081,340.3808197,76813,-1.676372586,52.62607792
E07000042,E92000001E07000042,151.6472706,217.8232942,369.4705648,77750,-3.554981585,50.8756916
E07000151,E92000001E07000151,166.6543195,277.062938,443.7172575,77843,-1.046509224,52.31564911
E07000077,E92000001E07000077,177.0315233,205.8520947,382.883618,79443,0.281387029,51.93423411
E07000212,E92000001E07000212,156.8755703,256.8764665,413.7520368,80510,-0.539771933,51.39327798
E07000120,E92000001E07000120,131.4940967,269.5789846,401.0730812,80734,-2.388361839,53.75843921
S12000018,S92000003S12000018,150.8855528,178.8825298,329.7680826,81485,-4.741471336,55.9044756
E07000083,E92000001E07000083,144.3807031,331.1429748,475.5236779,81943,-2.085922277,51.9451784
E07000073,E92000001E07000073,130.6602678,214.1025365,344.7628043,81944,0.1101891,51.76786557
E07000080,E92000001E07000080,163.6122591,256.0277334,419.6399925,81961,-2.48842617,51.82800624
E07000088,E92000001E07000088,137.1594868,153.7316985,290.8911853,82622,-1.157913164,50.8046844
E07000079,E92000001E07000079,219.6887442,247.2898849,466.9786291,82881,-1.890997211,51.81623309
E07000215,E92000001E07000215,177.2549257,161.7583654,339.0132911,82998,-0.041795915,51.22653204
E07000044,E92000001E07000044,197.8734393,269.8387192,467.7121585,83140,-3.821855229,50.37344823
S12000019,S92000003S12000019,144.1367632,236.3517933,380.4885565,83187,-3.108954133,55.83225692
E07000075,E92000001E07000075,153.0402511,129.4979344,282.5381855,83287,0.811212246,51.59085596
E07000169,E92000001E07000169,146.5557309,342.2176123,488.7733432,83449,-1.133127748,53.78689412
E07000009,E92000001E07000009,163.3004041,252.8495668,416.1499709,83818,0.296291082,52.34263293
E07000101,E92000001E07000101,0,0,0,83957,-0.187748319,51.90386663
E07000236,E92000001E07000236,126.7178266,230.0639413,356.7817679,84214,-1.950410745,52.28189952
E07000155,E92000001E07000155,182.5492105,265.6129043,448.1621148,85189,-1.041125504,52.12220711
E07000210,E92000001E07000210,178.8784226,272.6478983,451.5263209,85375,-0.323544791,51.21177529
E07000131,E92000001E07000131,165.9262532,251.9978149,417.9240681,85382,-1.006345519,52.53895589
E07000214,E92000001E07000214,163.8150161,243.8772425,407.6922586,86144,-0.66898527,51.34240734
E07000152,E92000001E07000152,164.7876601,337.995652,502.7833121,86765,-0.521829032,52.45730546
E07000117,E92000001E07000117,148.5273716,217.624044,366.1514156,87059,-2.220499931,53.77872825
E07000049,E92000001E07000049,170.813135,159.1665342,329.9796692,87166,-1.960171687,50.8631739
E07000102,E92000001E07000102,168.9733397,162.3953634,331.3687031,87317,-0.45901497,51.6604974
E07000200,E92000001E07000200,184.7893705,231.1364759,415.9258464,87740,0.917038529,52.0500809
E07000069,E92000001E07000069,164.2168139,95.40415009,259.620964,88011,0.595720093,51.53605963
S12000035,S92000003S12000035,277.1223508,315.0856029,592.2079537,88166,-5.500373733,56.12366858
E07000140,E92000001E07000140,174.7578306,343.9390099,518.6968405,88270,-0.028759074,52.79807341
E07000164,E92000001E07000164,176.1004378,324.2006999,500.3011377,89140,-1.317658734,54.2869046
E07000142,E92000001E07000142,160.9819737,237.1773014,398.1592751,89250,-0.475321519,53.39253599
E07000122,E92000001E07000122,151.697832,236.6723401,388.3701721,89452,-2.1834576,53.86530423
S12000030,S92000003S12000030,188.5136792,278.3231287,466.8368079,90247,-4.339695985,56.24442
E07000062,E92000001E07000062,159.7480493,160.296186,320.0442353,90254,0.572029245,50.86874236
E07000103,E92000001E07000103,148.8143057,287.6942354,436.5085411,90301,-0.401795872,51.66762373
S12000011,S92000003S12000011,165.0433571,78.72672503,243.7700821,90574,-4.358311879,55.75319185
E07000064,E92000001E07000064,199.1072993,193.18428,392.2915793,90588,0.54096232,50.95097731
S12000039,S92000003S12000039,153.8969102,188.9134053,342.8103155,90720,-4.516420561,55.98499308
E07000037,E92000001E07000037,133.0109365,490.244618,623.2555545,90892,-1.87240835,53.37280003
E07000089,E92000001E07000089,171.6918869,208.3211286,380.0130155,91033,-0.8959502,51.28431546
W06000020,W92000004W06000020,128.8186659,281.4256668,410.2443327,91075,-3.052191279,51.69816644
W06000021,W92000004W06000021,156.1066809,226.5687641,382.675445,91323,-2.866289563,51.75765025
E06000001,E92000001E06000001,141.1141612,316.2191717,457.3333329,92028,-1.253986724,54.66894991
E07000005,E92000001E07000005,194.5828297,161.0555601,355.6383898,92635,-0.6262295,51.68004409
S12000020,S92000003S12000020,191.522917,397.2433055,588.7662225,93295,-3.265695227,57.47616244
E07000134,E92000001E07000134,172.8064504,383.9010121,556.7074625,93468,-1.40350035,52.75280524
E07000153,E92000001E07000153,167.0098734,254.7457433,421.7556167,93475,-0.763927872,52.42576837
E07000138,E92000001E07000138,141.656204,265.1479766,406.8041806,93541,-0.553295117,53.22441989
E07000095,E92000001E07000095,168.6674673,269.8982817,438.565749,93609,-0.045735489,51.72463205
E07000234,E92000001E07000234,163.204634,160.3659881,323.5706221,93637,-2.014614474,52.36137722
E07000043,E92000001E07000043,176.8577127,300.639708,477.4974207,93667,-3.913854894,51.06936833
W06000004,W92000004W06000004,163.8192175,435.885508,599.7047255,93734,-3.352977909,53.09188861
E07000092,E92000001E07000092,146.8456861,261.5221441,408.3678302,93807,-0.765958363,51.27292449
E07000129,E92000001E07000129,157.3559474,248.9184905,406.2744379,93915,-1.220429662,52.5711532
E07000039,E92000001E07000039,164.4200987,373.7135076,538.1336063,94611,-1.558039908,52.83070484
